date,sales
7/20/2017,1056
7/20/2017,828
7/20/2017,288
7/20/2017,2760
7/20/2017,300
7/20/2017,132
7/20/2017,72
7/20/2017,72
7/20/2017,48
7/20/2017,24
7/20/2017,96
7/20/2017,96
7/20/2017,72
7/20/2017,48
7/20/2017,48
7/20/2017,12
7/20/2017,48
7/20/2017,240
7/20/2017,168
7/21/2017,240
7/21/2017,48
7/21/2017,24
7/21/2017,960
7/21/2017,612
7/21/2017,264
7/21/2017,264
7/21/2017,24
7/21/2017,24
7/21/2017,12
7/21/2017,288
7/21/2017,216
7/21/2017,96
7/24/2017,60
7/24/2017,32
7/24/2017,96
7/24/2017,1248
7/24/2017,1092
7/24/2017,588
7/24/2017,228
7/24/2017,96
7/24/2017,24
7/24/2017,96
7/24/2017,72
7/24/2017,336
7/24/2017,48
7/24/2017,24
7/24/2017,48
7/24/2017,96
7/24/2017,24
7/24/2017,120
7/24/2017,144
7/24/2017,168
7/25/2017,12
7/25/2017,144
7/25/2017,144
7/25/2017,444
7/25/2017,1068
7/25/2017,24
7/25/2017,24
7/25/2017,228
7/25/2017,108
7/25/2017,24
7/25/2017,48
7/25/2017,48
7/25/2017,72
7/25/2017,24
7/25/2017,336
7/25/2017,576
7/26/2017,1140
7/26/2017,144
7/26/2017,1020
7/26/2017,48
7/26/2017,864
7/26/2017,276
7/26/2017,540
7/26/2017,204
7/26/2017,600
7/26/2017,120
7/26/2017,7944
7/26/2017,228
7/26/2017,60
7/26/2017,12
7/26/2017,168
7/26/2017,120
7/26/2017,12
7/26/2017,96
7/26/2017,72
7/26/2017,120
7/26/2017,72
7/26/2017,456
7/26/2017,168
7/26/2017,24
7/26/2017,600
7/26/2017,24
7/26/2017,192
7/26/2017,120
7/26/2017,192
7/26/2017,96
7/26/2017,528
7/26/2017,240
7/27/2017,900
7/27/2017,96
7/27/2017,396
7/27/2017,12
7/27/2017,60
7/27/2017,324
7/27/2017,96
7/27/2017,888
7/27/2017,252
7/27/2017,3672
7/27/2017,336
7/27/2017,156
7/27/2017,48
7/27/2017,12
7/27/2017,24
7/27/2017,24
7/27/2017,24
7/27/2017,144
7/27/2017,120
7/27/2017,168
7/27/2017,24
7/27/2017,168
7/27/2017,96
7/27/2017,24
7/27/2017,24
7/27/2017,24
7/27/2017,36
7/27/2017,192
7/27/2017,108
7/27/2017,504
7/28/2017,840
7/28/2017,420
7/28/2017,80
7/28/2017,96
7/28/2017,6
7/28/2017,960
7/28/2017,768
7/28/2017,984
7/28/2017,1368
7/28/2017,24
7/28/2017,36
7/28/2017,12
7/28/2017,24
7/28/2017,24
7/28/2017,168
7/28/2017,48
7/28/2017,96
7/28/2017,12
7/28/2017,60
7/28/2017,24
7/28/2017,792
7/28/2017,480
7/28/2017,336
7/31/2017,60
7/31/2017,80
7/31/2017,108
7/31/2017,156
7/31/2017,864
7/31/2017,648
7/31/2017,360
7/31/2017,252
7/31/2017,96
7/31/2017,24
7/31/2017,72
7/31/2017,84
7/31/2017,12
7/31/2017,24
7/31/2017,72
7/31/2017,48
7/31/2017,96
7/31/2017,144
7/31/2017,72
7/31/2017,48
7/31/2017,192
7/31/2017,24
7/31/2017,120
7/31/2017,120
7/31/2017,24
7/31/2017,360
8/1/2017,420
8/1/2017,224
8/1/2017,176
8/1/2017,144
8/1/2017,72
8/1/2017,564
8/1/2017,336
8/1/2017,948
8/1/2017,24
8/1/2017,96
8/1/2017,24
8/1/2017,12
8/1/2017,12
8/1/2017,24
8/1/2017,48
8/1/2017,96
8/1/2017,36
8/1/2017,12
8/1/2017,528
8/1/2017,384
8/2/2017,2040
8/2/2017,16
8/2/2017,840
8/2/2017,384
8/2/2017,276
8/2/2017,900
8/2/2017,252
8/2/2017,564
8/2/2017,72
8/2/2017,2136
8/2/2017,192
8/2/2017,24
8/2/2017,48
8/2/2017,24
8/2/2017,48
8/2/2017,144
8/2/2017,72
8/2/2017,48
8/2/2017,144
8/2/2017,336
8/2/2017,36
8/2/2017,144
8/2/2017,48
8/2/2017,72
8/2/2017,240
8/2/2017,132
8/2/2017,480
8/3/2017,24
8/3/2017,24
8/3/2017,12
8/3/2017,288
8/3/2017,108
8/3/2017,540
8/3/2017,804
8/3/2017,276
8/3/2017,1656
8/3/2017,96
8/3/2017,60
8/3/2017,96
8/3/2017,24
8/3/2017,48
8/3/2017,24
8/3/2017,72
8/3/2017,24
8/3/2017,24
8/3/2017,168
8/3/2017,12
8/3/2017,132
8/3/2017,72
8/3/2017,72
8/3/2017,144
8/3/2017,96
8/3/2017,12
8/3/2017,384
8/3/2017,360
8/3/2017,156
8/4/2017,24
8/4/2017,480
8/4/2017,2460
8/4/2017,192
8/4/2017,360
8/4/2017,12
8/4/2017,72
8/4/2017,12
8/4/2017,24
8/4/2017,60
8/4/2017,48
8/4/2017,1200
8/4/2017,24
8/4/2017,48
8/7/2017,60
8/7/2017,80
8/7/2017,120
8/7/2017,6
8/7/2017,132
8/7/2017,1428
8/7/2017,840
8/7/2017,396
8/7/2017,348
8/7/2017,108
8/7/2017,48
8/7/2017,24
8/7/2017,24
8/7/2017,120
8/7/2017,48
8/7/2017,24
8/7/2017,24
8/7/2017,72
8/7/2017,72
8/7/2017,24
8/7/2017,192
8/8/2017,24
8/8/2017,684
8/8/2017,420
8/8/2017,216
8/8/2017,60
8/8/2017,48
8/8/2017,12
8/8/2017,24
8/8/2017,96
8/8/2017,12
8/8/2017,12
8/8/2017,48
8/8/2017,24
8/8/2017,72
8/8/2017,24
8/8/2017,12
8/8/2017,2112
8/8/2017,24
8/8/2017,192
8/9/2017,1440
8/9/2017,1260
8/9/2017,48
8/9/2017,480
8/9/2017,24
8/9/2017,1200
8/9/2017,336
8/9/2017,1188
8/9/2017,84
8/9/2017,120
8/9/2017,36
8/9/2017,24
8/9/2017,4248
8/9/2017,564
8/9/2017,24
8/9/2017,72
8/9/2017,48
8/9/2017,96
8/9/2017,24
8/9/2017,48
8/9/2017,336
8/9/2017,12
8/9/2017,48
8/9/2017,72
8/9/2017,168
8/9/2017,12
8/9/2017,72
8/9/2017,336
8/9/2017,24
8/9/2017,336
8/10/2017,360
8/10/2017,104
8/10/2017,120
8/10/2017,16
8/10/2017,1212
8/10/2017,1272
8/10/2017,708
8/10/2017,1584
8/10/2017,240
8/10/2017,96
8/10/2017,12
8/10/2017,1728
8/10/2017,132
8/10/2017,180
8/10/2017,12
8/10/2017,24
8/10/2017,12
8/10/2017,72
8/10/2017,24
8/10/2017,48
8/10/2017,24
8/10/2017,24
8/10/2017,144
8/10/2017,48
8/10/2017,60
8/10/2017,24
8/10/2017,72
8/10/2017,48
8/10/2017,24
8/10/2017,312
8/10/2017,24
8/10/2017,288
8/11/2017,300
8/11/2017,896
8/11/2017,840
8/11/2017,384
8/11/2017,864
8/11/2017,756
8/11/2017,12
8/11/2017,1392
8/11/2017,192
8/14/2017,720
8/14/2017,32
8/14/2017,660
8/14/2017,288
8/14/2017,6
8/14/2017,144
8/14/2017,2688
8/14/2017,504
8/14/2017,432
8/14/2017,360
8/14/2017,276
8/14/2017,48
8/14/2017,120
8/14/2017,96
8/14/2017,24
8/14/2017,48
8/14/2017,48
8/14/2017,48
8/14/2017,24
8/14/2017,240
8/14/2017,24
8/14/2017,24
8/14/2017,192
8/14/2017,312
